fecha,experimento,modelo,preprocesado,entrada,loss,augmentation,threshold,dice_validacion,dice_test_experto_1,dice_test_experto_2,dice_test_total,observaciones
2026-06-05,cv_5folds,fold_1.keras;fold_2.keras;fold_3.keras;fold_4.keras;fold_5.keras,"resize 512x512; apply_fov en evaluacion","512x512x3","binary_crossentropy","flips",0.20,0.163609975013,0.147575727955,0.143401619513,0.145488673734,"Baseline inicial. Threshold seleccionado por validacion. Resultado insuficiente y muy inestable entre folds."
2026-06-05,cv_bce_dice,fold_1.keras;fold_2.keras;fold_3.keras;fold_4.keras;fold_5.keras,"resize 512x512; apply_fov en evaluacion","512x512x3","bce_dice","sin flips",0.20,0.222358891627,0.225639873743,0.218175560981,0.221907717362,"Primer cambio a BCE+Dice, pero entrenado sin flips y con checkpoint temprano. Mejora frente al baseline, pero sigue degenerado."
2026-06-05,cv_bce_dice_flips_valloss,fold_1.keras;fold_2.keras;fold_3.keras;fold_4.keras;fold_5.keras,"resize 512x512; apply_fov en evaluacion","512x512x3","bce_dice","flips",0.50,0.748144717185,0.753677307963,0.763890808225,0.758784058094,"Primer entrenamiento valido como candidato final. Usa batch_size 1, callbacks sobre val_loss y threshold estable 0.50."
2026-06-05,cv_bce_dice_flips_valloss_ensemble,fold_1.keras;fold_2.keras;fold_3.keras;fold_4.keras;fold_5.keras,"resize 512x512; promedio de probabilidades; apply_fov en evaluacion","512x512x3","bce_dice","flips",0.50,,0.773936197162,0.786215701699,0.780075949430,"Ensemble final recomendado. Promedia probabilidades de los cinco folds antes del threshold. Threshold heredado de validacion de cv_bce_dice_flips_valloss; no se recalibro usando test."
2026-06-05,cv_bce_dice_flips_valloss_pad,fold_1.keras;fold_2.keras;fold_3.keras;fold_4.keras;fold_5.keras,"padding simetrico a 592x576; recorte a tamano original; apply_fov en evaluacion","592x576x3","bce_dice","flips",0.50,0.763070185296,0.776917791366,0.789520988464,0.783219389915,"Primer experimento con padding en vez de resize deformante. Mejora clara frente al resize individual y conserva mejor la geometria original de DRIVE."
2026-06-05,cv_bce_dice_flips_valloss_pad_ensemble,fold_1.keras;fold_2.keras;fold_3.keras;fold_4.keras;fold_5.keras,"padding simetrico a 592x576; promedio de probabilidades; recorte a tamano original; apply_fov en evaluacion","592x576x3","bce_dice","flips",0.50,,0.787846133113,0.801753777266,0.794799955189,"Ensemble con padding a 80 epocas. Supera al ensemble resize por 0.014724 DICE y pasa a ser el mejor resultado antes de ampliar entrenamiento."
2026-06-05,cv_bce_dice_flips_valloss_pad_e120,fold_1.keras;fold_2.keras;fold_3.keras;fold_4.keras;fold_5.keras,"padding simetrico a 592x576; recorte a tamano original; apply_fov en evaluacion","592x576x3","bce_dice","flips",0.45,0.766715471390,0.780036405325,0.793323621750,0.786680013537,"Mismo pipeline con padding, ampliado a 120 epocas y patience 16. El threshold optimo por validacion baja a 0.45, con mejora moderada frente a 80 epocas."
2026-06-05,cv_bce_dice_flips_valloss_pad_e120_ensemble,fold_1.keras;fold_2.keras;fold_3.keras;fold_4.keras;fold_5.keras,"padding simetrico a 592x576; promedio de probabilidades; recorte a tamano original; apply_fov en evaluacion","592x576x3","bce_dice","flips",0.45,,0.790434083343,0.804588097334,0.797511090338,"Nuevo mejor modelo adoptado. Ensemble de cinco folds con padding y 120 epocas; mejora el ensemble padding de 80 epocas y mantiene resultado casi identico a threshold 0.50."
2026-06-05,cv_bce_dice_flips_valloss_pad_e120_aug,fold_1.keras;fold_2.keras;fold_3.keras;fold_4.keras;fold_5.keras,"padding simetrico a 592x576; recorte a tamano original; apply_fov en evaluacion","592x576x3","bce_dice","flips + augmentation geometrica/fotometrica",0.45,0.783322195497,0.794419810772,0.810596901178,0.802508355975,"Experimento con augmentation enriquecida: rotaciones y traslaciones sincronizadas con la mascara, mas brillo, contraste, gamma y ruido ligero solo en imagen. Mejora claramente los folds individuales frente a pad_e120."
2026-06-05,cv_bce_dice_flips_valloss_pad_e120_aug_ensemble,fold_1.keras;fold_2.keras;fold_3.keras;fold_4.keras;fold_5.keras,"padding simetrico a 592x576; promedio de probabilidades; recorte a tamano original; apply_fov en evaluacion","592x576x3","bce_dice","flips + augmentation geometrica/fotometrica",0.45,,0.803983202577,0.821395593882,0.812689398229,"Nuevo mejor modelo adoptado. El ensemble con augmentation enriquecida supera a pad_e120_ensemble por 0.015178 DICE y mantiene resultado estable tambien con threshold 0.50."
